id;age;gender;country;languaje;category
1;63;male;Argentina;English;Comedy
2;73;female;U.S;English;Adventure
3;42;female;Argentina;Spanish;Adventure
4;80;other;France;English;Action
5;32;male;Colombia;English;Comedy
6;14;other;Spain;English;Comedy
7;29;male;Mexico;Italian;Adventure
8;72;female;Portugal;Spanish;Animation
9;47;other;Croatia;English;Adventure
10;81;female;Japan;Spanish;ScienceFiction
11;79;female;France;English;Comedy
12;30;other;Brazil;English;Action
13;16;male;Russia;Spanish;ScienceFiction
14;42;female;Portugal;English;ScienceFiction
15;60;female;Japan;English;Comedy
16;20;male;Italy;Italian;ScienceFiction
17;71;male;Italy;Spanish;ScienceFiction
18;24;male;Argentina;English;Adventure
19;83;male;Colombia;Spanish;Adventure
20;71;female;U.S;English;Comedy
21;53;other;Colombia;English;Animation
22;85;male;Portugal;English;Comedy
23;30;female;Colombia;English;Action
24;11;female;Brazil;Portuguese;ScienceFiction
25;24;female;U.S;Italian;Adventure
26;81;male;U.S;English;Comedy
27;82;female;Colombia;English;Action
28;43;male;Colombia;Spanish;Comedy
29;73;male;Colombia;Spanish;Comedy
30;22;male;U.S;Spanish;Animation
31;23;female;Brazil;English;Animation
32;20;female;Croatia;Spanish;Animation
33;68;female;Colombia;English;Comedy
34;33;male;France;English;ScienceFiction
35;15;male;Italy;Portuguese;Animation
36;67;female;Russia;English;ScienceFiction
37;42;female;Italy;English;Comedy
38;33;female;Canada;Spanish;Comedy
39;54;male;Brazil;English;Comedy
40;30;male;Mexico;English;Comedy
41;50;female;Portugal;Spanish;Animation
42;13;female;Croatia;English;Comedy
43;29;female;Japan;French;ScienceFiction
44;14;female;Colombia;Italian;Comedy
45;33;male;Croatia;English;Adventure
46;29;male;Portugal;English;Animation
47;41;male;Croatia;Spanish;Animation
48;22;male;Brazil;Spanish;Adventure
49;13;female;Japan;Portuguese;Comedy
50;55;male;Portugal;English;Adventure
51;67;female;Mexico;English;Comedy
52;34;male;Italy;Spanish;Action
53;27;female;Croatia;English;Comedy
54;16;other;Canada;Italian;Action
55;47;female;Argentina;English;ScienceFiction
56;28;female;Russia;English;Adventure
57;36;female;Croatia;English;Animation
58;56;female;Japan;Spanish;ScienceFiction
59;45;male;Brazil;Italian;Animation
60;84;male;Colombia;English;Animation
61;39;female;Argentina;English;ScienceFiction
62;36;female;Spain;English;Adventure
63;14;male;Spain;Spanish;Comedy
64;41;female;Brazil;English;Adventure
65;41;female;Croatia;Italian;Comedy
66;44;female;Croatia;English;Comedy
67;23;female;Mexico;English;Comedy
68;65;male;Canada;Portuguese;ScienceFiction
69;63;male;Portugal;Spanish;Action
70;23;female;Portugal;English;Comedy
71;74;female;France;English;ScienceFiction
72;70;female;Canada;English;Action
73;49;other;U.S;English;Comedy
74;32;male;U.S;English;Animation
75;85;other;Spain;Spanish;Animation
76;52;male;Russia;English;Adventure
77;53;female;U.S;French;Animation
78;58;other;Mexico;English;Comedy
79;65;female;Spain;English;Animation
80;15;male;Canada;English;Adventure
81;50;female;Croatia;English;ScienceFiction
82;20;male;France;Spanish;Adventure
83;60;male;Brazil;French;Comedy
84;54;female;Russia;Italian;Adventure
85;16;male;France;Spanish;ScienceFiction
86;71;male;Russia;English;Adventure
87;52;female;Russia;English;Adventure
88;55;female;Italy;English;Adventure
89;54;male;Russia;French;Action
90;82;female;France;English;Adventure
91;52;male;Colombia;Spanish;Animation
92;27;male;Russia;English;Adventure
93;53;male;Croatia;Spanish;Action
94;62;male;Argentina;Spanish;Adventure
95;77;male;Brazil;English;Comedy
96;82;female;Japan;Spanish;Adventure
97;78;female;Italy;English;ScienceFiction
98;82;male;Canada;English;Comedy
99;52;female;Russia;English;Action
100;26;other;Argentina;English;ScienceFiction
